bins FA
1.00000e-02 4.89398e-05
3.00000e-02 0.00000e+00
5.00000e-02 0.00000e+00
7.00000e-02 2.44698e-05
9.00000e-02 1.13792e-04
1.10000e-01 9.45714e-05
1.30000e-01 3.69655e-04
1.50000e-01 5.17397e-03
1.70000e-01 9.82236e-03
1.90000e-01 9.20977e-03
2.10000e-01 8.72893e-03
2.30000e-01 8.71915e-03
2.50000e-01 9.42246e-03
2.70000e-01 7.52720e-03
2.90000e-01 7.96373e-03
3.10000e-01 9.56044e-03
3.30000e-01 1.12411e-02
3.50000e-01 1.16201e-02
3.70000e-01 1.49365e-02
3.90000e-01 1.48080e-02
4.10000e-01 1.79677e-02
4.30000e-01 1.85729e-02
4.50000e-01 2.04632e-02
4.70000e-01 1.93454e-02
4.90000e-01 2.04301e-02
5.10000e-01 2.05214e-02
5.30000e-01 2.44377e-02
5.50000e-01 2.24390e-02
5.70000e-01 2.63272e-02
5.90000e-01 3.20724e-02
6.10000e-01 4.12184e-02
6.30000e-01 4.61652e-02
6.50000e-01 4.97545e-02
6.70000e-01 5.24187e-02
6.90000e-01 5.82363e-02
7.10000e-01 5.89745e-02
7.30000e-01 4.96454e-02
7.50000e-01 5.52490e-02
7.70000e-01 4.79481e-02
7.90000e-01 4.30143e-02
8.10000e-01 3.95698e-02
8.30000e-01 3.06854e-02
8.50000e-01 2.69350e-02
8.70000e-01 1.97700e-02
8.90000e-01 1.01755e-02
9.10000e-01 8.79776e-03
9.30000e-01 4.31068e-03
9.50000e-01 2.91993e-03
9.70000e-01 1.21120e-03
9.90000e-01 1.03817e-03
