bins FA
1.00000e-02 9.68523e-05
3.00000e-02 0.00000e+00
5.00000e-02 0.00000e+00
7.00000e-02 9.68523e-05
9.00000e-02 2.90557e-04
1.10000e-01 3.87409e-04
1.30000e-01 1.16223e-03
1.50000e-01 1.91768e-02
1.70000e-01 3.59322e-02
1.90000e-01 3.27361e-02
2.10000e-01 2.96368e-02
2.30000e-01 2.87651e-02
2.50000e-01 2.89588e-02
2.70000e-01 2.29540e-02
2.90000e-01 2.15012e-02
3.10000e-01 2.44068e-02
3.30000e-01 2.42131e-02
3.50000e-01 2.22760e-02
3.70000e-01 2.51816e-02
3.90000e-01 2.28571e-02
4.10000e-01 2.44068e-02
4.30000e-01 2.38257e-02
4.50000e-01 2.56659e-02
4.70000e-01 2.28571e-02
4.90000e-01 2.31477e-02
5.10000e-01 2.22760e-02
5.30000e-01 2.33414e-02
5.50000e-01 2.05327e-02
5.70000e-01 2.37288e-02
5.90000e-01 2.76998e-02
6.10000e-01 3.20581e-02
6.30000e-01 3.33172e-02
6.50000e-01 3.44794e-02
6.70000e-01 3.62228e-02
6.90000e-01 3.91283e-02
7.10000e-01 3.77724e-02
7.30000e-01 3.20581e-02
7.50000e-01 3.51574e-02
7.70000e-01 2.97337e-02
7.90000e-01 2.67312e-02
8.10000e-01 2.34383e-02
8.30000e-01 1.81114e-02
8.50000e-01 1.55932e-02
8.70000e-01 1.17191e-02
8.90000e-01 5.81114e-03
9.10000e-01 5.03632e-03
9.30000e-01 2.51816e-03
9.50000e-01 1.74334e-03
9.70000e-01 6.77966e-04
9.90000e-01 5.81114e-04
