bins FA
1.00000e-02 0.00000e+00
3.00000e-02 0.00000e+00
5.00000e-02 0.00000e+00
7.00000e-02 0.00000e+00
9.00000e-02 0.00000e+00
1.10000e-01 1.10465e-04
1.30000e-01 2.10253e-04
1.50000e-01 9.54681e-03
1.70000e-01 1.49254e-02
1.90000e-01 1.40426e-02
2.10000e-01 1.55159e-02
2.30000e-01 1.45375e-02
2.50000e-01 1.65993e-02
2.70000e-01 1.64119e-02
2.90000e-01 1.58153e-02
3.10000e-01 1.95736e-02
3.30000e-01 2.12702e-02
3.50000e-01 2.72323e-02
3.70000e-01 3.12647e-02
3.90000e-01 2.66059e-02
4.10000e-01 3.01688e-02
4.30000e-01 3.47757e-02
4.50000e-01 3.37726e-02
4.70000e-01 4.57919e-02
4.90000e-01 4.19500e-02
5.10000e-01 4.15467e-02
5.30000e-01 4.91691e-02
5.50000e-01 4.72438e-02
5.70000e-01 4.36933e-02
5.90000e-01 4.55272e-02
6.10000e-01 3.80301e-02
6.30000e-01 4.60272e-02
6.50000e-01 3.94328e-02
6.70000e-01 4.06686e-02
6.90000e-01 3.56490e-02
7.10000e-01 2.88047e-02
7.30000e-01 2.54432e-02
7.50000e-01 1.97188e-02
7.70000e-01 2.01642e-02
7.90000e-01 1.58763e-02
8.10000e-01 1.22017e-02
8.30000e-01 6.26996e-03
8.50000e-01 4.53156e-03
8.70000e-01 3.54862e-03
8.90000e-01 1.99782e-03
9.10000e-01 1.83550e-03
9.30000e-01 7.79065e-04
9.50000e-01 1.40606e-03
9.70000e-01 3.13498e-04
9.90000e-01 0.00000e+00
