bins FA
1.00000e-02 0.00000e+00
3.00000e-02 0.00000e+00
5.00000e-02 0.00000e+00
7.00000e-02 0.00000e+00
9.00000e-02 0.00000e+00
1.10000e-01 3.32392e-04
1.30000e-01 6.64783e-04
1.50000e-01 2.90843e-02
1.70000e-01 4.57038e-02
1.90000e-01 4.28785e-02
2.10000e-01 4.52053e-02
2.30000e-01 3.97208e-02
2.50000e-01 4.17151e-02
2.70000e-01 3.44025e-02
2.90000e-01 3.17434e-02
3.10000e-01 3.60645e-02
3.30000e-01 3.05800e-02
3.50000e-01 3.50673e-02
3.70000e-01 3.47349e-02
3.90000e-01 3.05800e-02
4.10000e-01 3.00814e-02
4.30000e-01 3.22420e-02
4.50000e-01 3.00814e-02
4.70000e-01 3.49011e-02
4.90000e-01 3.40701e-02
5.10000e-01 3.09124e-02
5.30000e-01 3.44025e-02
5.50000e-01 3.30730e-02
5.70000e-01 2.89181e-02
5.90000e-01 2.95828e-02
6.10000e-01 2.40984e-02
6.30000e-01 2.77547e-02
6.50000e-01 2.37660e-02
6.70000e-01 2.40984e-02
6.90000e-01 2.04421e-02
7.10000e-01 1.72844e-02
7.30000e-01 1.52900e-02
7.50000e-01 1.14675e-02
7.70000e-01 1.14675e-02
7.90000e-01 8.80838e-03
8.10000e-01 6.98022e-03
8.30000e-01 3.32392e-03
8.50000e-01 2.65913e-03
8.70000e-01 1.99435e-03
8.90000e-01 1.16337e-03
9.10000e-01 1.16337e-03
9.30000e-01 4.98587e-04
9.50000e-01 8.30979e-04
9.70000e-01 1.66196e-04
9.90000e-01 0.00000e+00
