bins L1
1.84138e-02 4.89314e-05
8.93642e-02 0.00000e+00
1.60315e-01 0.00000e+00
2.31265e-01 0.00000e+00
3.02216e-01 4.89312e-05
3.73166e-01 8.35311e-05
4.44116e-01 0.00000e+00
5.15067e-01 0.00000e+00
5.86017e-01 0.00000e+00
6.56968e-01 1.36839e-04
7.27918e-01 2.44656e-05
7.98869e-01 4.89312e-05
8.69819e-01 5.57906e-05
9.40769e-01 6.70754e-04
1.01172e+00 1.82751e-03
1.08267e+00 3.60675e-03
1.15362e+00 5.64070e-03
1.22457e+00 8.03772e-03
1.29552e+00 1.88475e-02
1.36647e+00 3.78385e-02
1.43742e+00 6.38665e-02
1.50837e+00 9.06331e-02
1.57932e+00 1.07981e-01
1.65027e+00 1.09837e-01
1.72122e+00 1.01454e-01
1.79217e+00 8.71076e-02
1.86312e+00 7.78749e-02
1.93408e+00 6.32268e-02
2.00503e+00 5.01059e-02
2.07598e+00 3.61872e-02
2.14693e+00 2.89702e-02
2.21788e+00 1.90422e-02
2.28883e+00 1.74554e-02
2.35978e+00 1.61646e-02
2.43073e+00 1.09061e-02
2.50168e+00 8.63033e-03
2.57263e+00 8.45932e-03
2.64358e+00 6.03344e-03
2.71453e+00 5.30254e-03
2.78548e+00 4.67602e-03
2.85643e+00 2.57023e-03
2.92738e+00 2.26802e-03
2.99833e+00 1.57221e-03
3.06928e+00 1.08764e-03
3.14023e+00 7.97078e-04
3.21118e+00 3.41629e-04
3.28213e+00 2.74962e-04
3.35308e+00 8.11525e-05
3.42403e+00 1.03215e-04
3.49498e+00 7.36452e-05
