bins L1
1.84138e-02 9.68429e-05
8.93642e-02 0.00000e+00
1.60315e-01 0.00000e+00
2.31265e-01 0.00000e+00
3.02216e-01 1.93686e-04
3.73166e-01 1.93686e-04
4.44116e-01 0.00000e+00
5.15067e-01 0.00000e+00
5.86017e-01 0.00000e+00
6.56968e-01 3.87372e-04
7.27918e-01 9.68429e-05
7.98869e-01 1.93686e-04
8.69819e-01 1.93686e-04
9.40769e-01 6.77900e-04
1.01172e+00 1.25896e-03
1.08267e+00 2.51792e-03
1.15362e+00 4.45477e-03
1.22457e+00 5.22952e-03
1.29552e+00 1.24927e-02
1.36647e+00 2.39202e-02
1.43742e+00 4.03835e-02
1.50837e+00 5.89773e-02
1.57932e+00 7.17606e-02
1.65027e+00 7.61185e-02
1.72122e+00 7.60217e-02
1.79217e+00 7.43754e-02
1.86312e+00 7.06953e-02
1.93408e+00 6.52721e-02
2.00503e+00 6.02363e-02
2.07598e+00 5.30699e-02
2.14693e+00 4.70657e-02
2.21788e+00 3.77687e-02
2.28883e+00 3.25392e-02
2.35978e+00 3.53477e-02
2.43073e+00 2.64381e-02
2.50168e+00 2.39202e-02
2.57263e+00 2.25644e-02
2.64358e+00 1.72380e-02
2.71453e+00 1.49138e-02
2.78548e+00 1.34612e-02
2.85643e+00 7.45690e-03
2.92738e+00 7.55375e-03
2.99833e+00 5.42320e-03
3.06928e+00 3.48635e-03
3.14023e+00 3.00213e-03
3.21118e+00 1.06527e-03
3.28213e+00 9.68429e-04
3.35308e+00 2.90529e-04
3.42403e+00 3.87372e-04
3.49498e+00 2.90529e-04
