bins L1
5.49891e-01 1.25399e-03
6.10439e-01 1.56749e-03
6.70987e-01 6.26996e-04
7.31535e-01 2.35914e-03
7.92083e-01 3.14137e-03
8.52631e-01 4.15438e-03
9.13179e-01 7.28277e-03
9.73727e-01 9.06671e-03
1.03428e+00 1.36398e-02
1.09482e+00 1.72130e-02
1.15537e+00 2.20736e-02
1.21592e+00 3.74433e-02
1.27647e+00 4.05393e-02
1.33702e+00 6.08827e-02
1.39756e+00 6.01903e-02
1.45811e+00 7.10802e-02
1.51866e+00 7.12044e-02
1.57921e+00 6.34873e-02
1.63976e+00 5.87520e-02
1.70030e+00 5.81011e-02
1.76085e+00 5.00216e-02
1.82140e+00 4.95800e-02
1.88195e+00 4.25042e-02
1.94250e+00 3.22965e-02
2.00304e+00 2.73683e-02
2.06359e+00 2.46414e-02
2.12414e+00 2.63630e-02
2.18469e+00 2.13914e-02
2.24524e+00 1.89393e-02
2.30578e+00 1.50114e-02
2.36633e+00 1.45844e-02
2.42688e+00 1.06841e-02
2.48743e+00 1.17884e-02
2.54798e+00 1.00135e-02
2.60853e+00 8.72693e-03
2.66907e+00 7.14998e-03
2.72962e+00 5.82468e-03
2.79017e+00 4.54411e-03
2.85072e+00 4.06882e-03
2.91127e+00 3.29400e-03
2.97181e+00 2.22809e-03
3.03236e+00 1.62621e-03
3.09291e+00 1.05253e-03
3.15346e+00 8.98988e-04
3.21401e+00 5.23768e-04
3.27455e+00 3.19480e-04
3.33510e+00 2.26895e-04
3.39565e+00 1.54403e-04
3.45620e+00 5.82150e-05
3.51675e+00 5.54193e-05
