bins L1
5.49891e-01 6.64783e-04
6.10439e-01 8.30979e-04
6.70987e-01 3.32392e-04
7.31535e-01 1.32957e-03
7.92083e-01 1.99435e-03
8.52631e-01 2.82533e-03
9.13179e-01 4.65348e-03
9.73727e-01 5.65066e-03
1.03428e+00 8.30979e-03
1.09482e+00 1.11351e-02
1.15537e+00 1.39604e-02
1.21592e+00 2.37660e-02
1.27647e+00 2.54280e-02
1.33702e+00 3.70617e-02
1.39756e+00 3.90560e-02
1.45811e+00 4.43743e-02
1.51866e+00 4.88616e-02
1.57921e+00 4.78644e-02
1.63976e+00 4.48729e-02
1.70030e+00 4.47067e-02
1.76085e+00 4.45405e-02
1.82140e+00 4.52053e-02
1.88195e+00 4.43743e-02
1.94250e+00 3.78926e-02
2.00304e+00 3.70617e-02
2.06359e+00 3.60645e-02
2.12414e+00 3.52335e-02
2.18469e+00 3.55659e-02
2.24524e+00 3.15772e-02
2.30578e+00 2.92505e-02
2.36633e+00 3.02476e-02
2.42688e+00 2.50956e-02
2.48743e+00 2.69237e-02
2.54798e+00 2.44308e-02
2.60853e+00 2.29350e-02
2.66907e+00 1.82815e-02
2.72962e+00 1.52900e-02
2.79017e+00 1.22985e-02
2.85072e+00 1.08027e-02
2.91127e+00 9.30696e-03
2.97181e+00 5.81685e-03
3.03236e+00 4.81968e-03
3.09291e+00 2.65913e-03
3.15346e+00 2.65913e-03
3.21401e+00 1.49576e-03
3.27455e+00 9.97175e-04
3.33510e+00 6.64783e-04
3.39565e+00 4.98587e-04
3.45620e+00 1.66196e-04
3.51675e+00 1.66196e-04
