bins MD
-3.76754e-02 4.89314e-05
2.23995e-02 0.00000e+00
8.24743e-02 0.00000e+00
1.42549e-01 0.00000e+00
2.02624e-01 2.44656e-05
2.62699e-01 1.07997e-04
3.22774e-01 0.00000e+00
3.82849e-01 2.88331e-05
4.42923e-01 7.61603e-04
5.02998e-01 4.84395e-03
5.63073e-01 1.80367e-02
6.23148e-01 3.42703e-02
6.83223e-01 7.42179e-02
7.43298e-01 1.14218e-01
8.03373e-01 1.40708e-01
8.63447e-01 1.36715e-01
9.23522e-01 1.02248e-01
9.83597e-01 6.22398e-02
1.04367e+00 4.02267e-02
1.10375e+00 3.58999e-02
1.16382e+00 3.32179e-02
1.22390e+00 3.29313e-02
1.28397e+00 2.77141e-02
1.34405e+00 1.88841e-02
1.40412e+00 1.57118e-02
1.46420e+00 1.40936e-02
1.52427e+00 1.19798e-02
1.58435e+00 1.18756e-02
1.64442e+00 9.01870e-03
1.70450e+00 8.16291e-03
1.76457e+00 6.10288e-03
1.82465e+00 6.95812e-03
1.88472e+00 5.16541e-03
1.94479e+00 6.24651e-03
2.00487e+00 5.91767e-03
2.06494e+00 3.94201e-03
2.12502e+00 3.67655e-03
2.18509e+00 3.03706e-03
2.24517e+00 2.61739e-03
2.30524e+00 2.36692e-03
2.36532e+00 1.71675e-03
2.42539e+00 1.44789e-03
2.48547e+00 9.93825e-04
2.54554e+00 4.29472e-04
2.60562e+00 4.48013e-04
2.66569e+00 3.37189e-04
2.72577e+00 1.35188e-04
2.78584e+00 1.50496e-04
2.84592e+00 2.47140e-05
2.90599e+00 1.00663e-04
