bins MD
-3.76754e-02 9.68429e-05
2.23995e-02 0.00000e+00
8.24743e-02 0.00000e+00
1.42549e-01 0.00000e+00
2.02624e-01 9.68429e-05
2.62699e-01 2.90529e-04
3.22774e-01 0.00000e+00
3.82849e-01 9.68429e-05
4.42923e-01 5.81058e-04
5.02998e-01 2.71160e-03
5.63073e-01 1.08464e-02
6.23148e-01 2.00465e-02
6.83223e-01 4.33856e-02
7.43298e-01 6.78869e-02
8.03373e-01 8.58028e-02
8.63447e-01 8.58028e-02
9.23522e-01 7.14701e-02
9.83597e-01 5.19078e-02
1.04367e+00 3.93182e-02
1.10375e+00 4.07709e-02
1.16382e+00 3.96088e-02
1.22390e+00 3.92214e-02
1.28397e+00 3.64129e-02
1.34405e+00 3.08929e-02
1.40412e+00 3.06024e-02
1.46420e+00 3.06992e-02
1.52427e+00 2.83750e-02
1.58435e+00 2.81813e-02
1.64442e+00 2.58571e-02
1.70450e+00 2.32423e-02
1.76457e+00 1.82065e-02
1.82465e+00 2.01433e-02
1.88472e+00 1.70444e-02
1.94479e+00 1.87875e-02
2.00487e+00 1.89812e-02
2.06494e+00 1.37517e-02
2.12502e+00 1.16212e-02
2.18509e+00 1.07496e-02
2.24517e+00 7.65059e-03
2.30524e+00 8.13481e-03
2.36532e+00 5.71373e-03
2.42539e+00 5.22952e-03
2.48547e+00 3.58319e-03
2.54554e+00 1.64633e-03
2.60562e+00 1.74317e-03
2.66569e+00 1.25896e-03
2.72577e+00 4.84215e-04
2.78584e+00 5.81058e-04
2.84592e+00 9.68429e-05
2.90599e+00 3.87372e-04
