bins MD
3.45524e-01 1.42789e-03
3.99701e-01 5.54455e-03
4.53879e-01 6.83482e-03
5.08056e-01 1.28236e-02
5.62234e-01 2.29734e-02
6.16411e-01 3.82860e-02
6.70589e-01 6.15497e-02
7.24766e-01 8.39006e-02
7.78944e-01 9.11082e-02
8.33121e-01 8.47835e-02
8.87299e-01 6.99566e-02
9.41476e-01 6.26992e-02
9.95654e-01 4.89048e-02
1.04983e+00 5.12532e-02
1.10401e+00 4.43532e-02
1.15819e+00 3.79862e-02
1.21236e+00 2.76641e-02
1.26654e+00 2.74614e-02
1.32072e+00 3.01972e-02
1.37490e+00 1.79790e-02
1.42907e+00 1.80465e-02
1.48325e+00 1.67132e-02
1.53743e+00 1.20148e-02
1.59161e+00 1.40971e-02
1.64578e+00 1.33169e-02
1.69996e+00 1.13692e-02
1.75414e+00 1.16199e-02
1.80832e+00 1.01429e-02
1.86249e+00 7.60647e-03
1.91667e+00 7.46008e-03
1.97085e+00 7.12188e-03
2.02503e+00 6.88692e-03
2.07920e+00 5.90552e-03
2.13338e+00 4.99772e-03
2.18756e+00 4.15753e-03
2.24174e+00 4.73013e-03
2.29591e+00 3.99401e-03
2.35009e+00 3.57125e-03
2.40427e+00 2.43741e-03
2.45845e+00 2.41408e-03
2.51262e+00 1.30805e-03
2.56680e+00 7.02029e-04
2.62098e+00 4.81347e-04
2.67516e+00 5.10724e-04
2.72933e+00 1.13634e-04
2.78351e+00 1.56765e-04
2.83769e+00 2.24099e-04
2.89187e+00 9.89833e-05
2.94604e+00 5.82150e-05
3.00022e+00 5.54193e-05
