bins MD
3.45524e-01 8.30979e-04
3.99701e-01 3.15772e-03
4.53879e-01 4.32109e-03
5.08056e-01 7.47881e-03
5.62234e-01 1.32957e-02
6.16411e-01 2.21040e-02
6.70589e-01 3.52335e-02
7.24766e-01 4.80306e-02
7.78944e-01 5.30165e-02
8.33121e-01 5.15207e-02
8.87299e-01 4.71996e-02
9.41476e-01 4.28785e-02
9.95654e-01 3.70617e-02
1.04983e+00 4.32109e-02
1.10401e+00 3.77264e-02
1.15819e+00 3.77264e-02
1.21236e+00 3.14110e-02
1.26654e+00 3.14110e-02
1.32072e+00 3.70617e-02
1.37490e+00 2.72561e-02
1.42907e+00 2.80871e-02
1.48325e+00 2.54280e-02
1.53743e+00 2.31012e-02
1.59161e+00 2.80871e-02
1.64578e+00 2.70899e-02
1.69996e+00 2.29350e-02
1.75414e+00 2.65913e-02
1.80832e+00 2.44308e-02
1.86249e+00 1.97773e-02
1.91667e+00 1.97773e-02
1.97085e+00 1.79491e-02
2.02503e+00 1.91125e-02
2.07920e+00 1.64534e-02
2.13338e+00 1.46252e-02
2.18756e+00 1.22985e-02
2.24174e+00 1.37942e-02
2.29591e+00 1.17999e-02
2.35009e+00 1.09689e-02
2.40427e+00 7.14642e-03
2.45845e+00 7.31261e-03
2.51262e+00 3.82250e-03
2.56680e+00 2.32674e-03
2.62098e+00 1.49576e-03
2.67516e+00 1.49576e-03
2.72933e+00 3.32392e-04
2.78351e+00 4.98587e-04
2.83769e+00 6.64783e-04
2.89187e+00 3.32392e-04
2.94604e+00 1.66196e-04
3.00022e+00 1.66196e-04
