bins RD
-6.56348e-02 2.21930e-04
-1.08272e-02 3.45997e-04
4.39803e-02 2.42198e-03
9.87879e-02 8.94769e-03
1.53595e-01 1.96781e-02
2.08403e-01 4.21658e-02
2.63211e-01 6.81709e-02
3.18018e-01 9.64875e-02
3.72826e-01 1.06758e-01
4.27633e-01 1.07134e-01
4.82441e-01 1.01842e-01
5.37248e-01 8.31729e-02
5.92056e-01 5.05169e-02
6.46864e-01 3.66005e-02
7.01671e-01 2.84706e-02
7.56479e-01 2.41012e-02
8.11286e-01 2.19844e-02
8.66094e-01 2.19712e-02
9.20901e-01 2.45285e-02
9.75709e-01 2.16299e-02
1.03052e+00 1.78696e-02
1.08532e+00 1.19919e-02
1.14013e+00 9.95819e-03
1.19494e+00 1.06724e-02
1.24975e+00 9.17186e-03
1.30455e+00 8.48837e-03
1.35936e+00 6.32518e-03
1.41417e+00 6.50936e-03
1.46898e+00 5.62378e-03
1.52378e+00 5.37239e-03
1.57859e+00 4.88950e-03
1.63340e+00 5.13043e-03
1.68821e+00 5.22109e-03
1.74302e+00 4.18616e-03
1.79782e+00 3.52540e-03
1.85263e+00 3.05255e-03
1.90744e+00 2.98959e-03
1.96225e+00 2.86190e-03
2.01705e+00 2.12922e-03
2.07186e+00 1.85387e-03
2.12667e+00 1.72139e-03
2.18148e+00 1.04253e-03
2.23628e+00 6.80815e-04
2.29109e+00 4.85099e-04
2.34590e+00 3.51525e-04
2.40071e+00 3.46099e-04
2.45551e+00 1.48093e-04
2.51032e+00 7.86003e-05
2.56513e+00 7.21438e-05
2.61994e+00 1.00663e-04
