bins RD
-6.56348e-02 1.93686e-04
-1.08272e-02 1.93686e-04
4.39803e-02 1.35580e-03
9.87879e-02 5.22952e-03
1.53595e-01 1.14275e-02
2.08403e-01 2.49855e-02
2.63211e-01 4.02867e-02
3.18018e-01 5.71373e-02
3.72826e-01 6.57563e-02
4.27633e-01 6.80806e-02
4.82441e-01 6.71121e-02
5.37248e-01 5.84931e-02
5.92056e-01 3.99961e-02
6.46864e-01 3.48635e-02
7.01671e-01 2.88592e-02
7.56479e-01 2.97308e-02
8.11286e-01 2.81813e-02
8.66094e-01 2.56634e-02
9.20901e-01 3.04087e-02
9.75709e-01 2.84718e-02
1.03052e+00 2.79876e-02
1.08532e+00 2.39202e-02
1.14013e+00 2.14023e-02
1.19494e+00 2.33391e-02
1.24975e+00 2.34360e-02
1.30455e+00 2.28549e-02
1.35936e+00 1.84002e-02
1.41417e+00 1.99496e-02
1.46898e+00 1.66570e-02
1.52378e+00 1.70444e-02
1.57859e+00 1.62696e-02
1.63340e+00 1.65601e-02
1.68821e+00 1.64633e-02
1.74302e+00 1.42359e-02
1.79782e+00 1.30738e-02
1.85263e+00 1.03622e-02
1.90744e+00 9.58745e-03
1.96225e+00 1.00717e-02
2.01705e+00 7.36006e-03
2.07186e+00 6.10110e-03
2.12667e+00 6.00426e-03
2.18148e+00 3.87372e-03
2.23628e+00 2.61476e-03
2.29109e+00 1.84002e-03
2.34590e+00 1.35580e-03
2.40071e+00 1.25896e-03
2.45551e+00 5.81058e-04
2.51032e+00 2.90529e-04
2.56513e+00 2.90529e-04
2.61994e+00 3.87372e-04
