bins RD
8.37002e-02 3.43912e-03
1.37918e-01 5.81256e-03
1.92135e-01 1.75824e-02
2.46352e-01 2.66004e-02
3.00570e-01 4.22947e-02
3.54787e-01 7.26646e-02
4.09004e-01 8.43101e-02
4.63222e-01 8.58271e-02
5.17439e-01 7.62090e-02
5.71657e-01 7.29617e-02
6.25874e-01 6.98425e-02
6.80091e-01 5.67674e-02
7.34309e-01 4.00000e-02
7.88526e-01 4.06618e-02
8.42743e-01 3.38426e-02
8.96961e-01 3.39489e-02
9.51178e-01 2.63533e-02
1.00540e+00 2.02650e-02
1.05961e+00 1.79813e-02
1.11383e+00 1.74086e-02
1.16805e+00 1.49103e-02
1.22226e+00 1.25051e-02
1.27648e+00 1.33682e-02
1.33070e+00 1.26490e-02
1.38492e+00 1.05212e-02
1.43913e+00 1.13543e-02
1.49335e+00 9.62586e-03
1.54757e+00 8.11691e-03
1.60179e+00 6.90211e-03
1.65600e+00 6.72266e-03
1.71022e+00 7.56259e-03
1.76444e+00 5.44176e-03
1.81866e+00 4.95002e-03
1.87287e+00 4.28516e-03
1.92709e+00 5.06091e-03
1.98131e+00 3.60737e-03
2.03553e+00 4.79893e-03
2.08974e+00 3.79337e-03
2.14396e+00 2.46323e-03
2.19818e+00 2.46728e-03
2.25239e+00 1.63934e-03
2.30661e+00 8.28747e-04
2.36083e+00 4.40578e-04
2.41505e+00 3.88329e-04
2.46926e+00 2.74850e-04
2.52348e+00 0.00000e+00
2.57770e+00 3.36079e-04
2.63192e+00 1.57198e-04
2.68613e+00 0.00000e+00
2.74035e+00 5.54193e-05
