bins RD
8.37002e-02 1.99435e-03
1.37918e-01 3.49011e-03
1.92135e-01 1.01379e-02
2.46352e-01 1.51238e-02
3.00570e-01 2.37660e-02
3.54787e-01 4.17151e-02
4.09004e-01 4.85292e-02
4.63222e-01 5.21855e-02
5.17439e-01 4.63686e-02
5.71657e-01 4.78644e-02
6.25874e-01 4.67010e-02
6.80091e-01 4.27123e-02
7.34309e-01 3.22420e-02
7.88526e-01 3.68955e-02
8.42743e-01 3.24082e-02
8.96961e-01 3.37377e-02
9.51178e-01 3.10786e-02
1.00540e+00 2.75885e-02
1.05961e+00 2.62589e-02
1.11383e+00 2.59265e-02
1.16805e+00 2.57603e-02
1.22226e+00 2.39322e-02
1.27648e+00 2.50956e-02
1.33070e+00 2.54280e-02
1.38492e+00 2.26026e-02
1.43913e+00 2.64251e-02
1.49335e+00 2.34336e-02
1.54757e+00 2.06083e-02
1.60179e+00 1.81153e-02
1.65600e+00 1.81153e-02
1.71022e+00 2.09407e-02
1.76444e+00 1.57886e-02
1.81866e+00 1.42928e-02
1.87287e+00 1.24647e-02
1.92709e+00 1.54562e-02
1.98131e+00 1.13013e-02
2.03553e+00 1.42928e-02
2.08974e+00 1.13013e-02
2.14396e+00 7.81120e-03
2.19818e+00 7.47881e-03
2.25239e+00 4.98587e-03
2.30661e+00 2.65913e-03
2.36083e+00 1.32957e-03
2.41505e+00 1.16337e-03
2.46926e+00 8.30979e-04
2.52348e+00 0.00000e+00
2.57770e+00 9.97175e-04
2.63192e+00 4.98587e-04
2.68613e+00 0.00000e+00
2.74035e+00 1.66196e-04
