8.102	0.665	8.195	0.575	10.792	0.269	10.147	0.236	1.000
7.378	0.502	7.017	1.000	9.782	0.245	5.873	0.180	2.000
6.093	0.379	5.833	0.299	5.999	0.114	5.586	0.127	3.000
5.781	0.182	5.507	0.178	5.801	0.080	5.586	0.092	4.000
5.556	0.144	5.264	0.136	5.716	0.066	5.473	0.084	5.000
5.283	0.127	5.327	0.126	5.536	0.056	5.549	0.069	6.000
5.210	0.121	5.174	0.128	5.232	0.049	5.273	0.061	7.000
5.170	0.120	5.124	0.115	5.315	0.047	5.368	0.060	8.000
4.961	0.116	4.989	0.114	5.069	0.046	5.012	0.057	9.000
4.839	0.108	5.085	0.111	5.228	0.046	4.974	0.057	10.000
4.993	0.110	5.088	0.112	5.184	0.044	4.948	0.057	11.000
