#reg	s1	s2	s3	s4	s5	avg	std
G1	3.41E-02	4.48E-02	3.23E-02	3.19E-02	3.16E-02	3.49E-02	0.005018984
G2	3.19E-02	3.56E-02	3.20E-02	3.30E-02	2.72E-02	3.19E-02	0.00270946
G3	2.74E-02	3.08E-02	2.73E-02	3.08E-02	2.53E-02	2.83E-02	0.002128729
B1	2.62E-02	2.77E-02	2.42E-02	2.85E-02	2.45E-02	2.62E-02	0.00168955
B2	2.59E-02	2.92E-02	2.74E-02	2.82E-02	2.63E-02	2.74E-02	0.001227031
B3	2.71E-02	2.76E-02	2.88E-02	2.81E-02	2.65E-02	2.76E-02	0.000812119
I	2.95E-02	2.86E-02	2.31E-02	2.23E-02	2.33E-02	2.54E-02	0.003049934
S1	3.01E-02	3.30E-02	3.86E-02	3.51E-02	2.96E-02	3.33E-02	0.003345048
S2	3.45E-02	3.61E-02	3.12E-02	3.43E-02	3.23E-02	3.37E-02	0.001722973
S3	3.33E-02	4.42E-02	3.32E-02	4.63E-02	3.50E-02	3.84E-02	0.005679629
