ID	REG	R1	R2
1	R1	11.2458	11.5989
1	R2	12.1037	11.842
1	R3	12.902	12.5763
1	R4	13.2367	12.7534
1	R5	13.1592	12.711
1	R6	12.6546	12.7796
1	R7	12.0895	12.3528
1	R8	12.0038	11.8243
1	R9	11.4119	11.548
1	R10	11.722	11.6425
2	AVG	12.2529	12.1629
2	R1	10.2305	11.1795
2	R2	11.4223	11.5404
2	R3	12.0998	11.6279
2	R4	12.6175	11.796
2	R5	11.9286	12.1867
2	R6	12.426	11.8466
2	R7	12.259	11.5909
2	R8	11.2777	10.6429
2	R9	10.9073	10.3584
2	R10	9.83388	9.89308
3	AVG	11.5003	11.2662
3	R1	11.2413	11.55
3	R2	12.4712	12.4749
3	R3	12.7211	12.9004
3	R4	12.8157	12.8838
3	R5	12.4208	12.6934
3	R6	11.3029	12.2355
3	R7	10.9753	12.5614
3	R8	10.8879	12.809
3	R9	11.2858	11.7048
3	R10	10.7029	10.888
4	AVG	11.6825	12.2701
4	R1	10.8088	12.523
4	R2	11.7136	12.3151
4	R3	12.1432	12.5581
4	R4	12.7635	12.6499
4	R5	12.7633	12.5114
4	R6	12.4498	12.4256
4	R7	11.9525	12.5505
4	R8	11.7401	12.6332
5	R9	11.6753	12.0566
5	R10	10.8626	10.9875
5	AVG	11.8873	12.3211
5	R1	11.9977	12.3177
5	R2	12.9639	12.7216
5	R3	13.3483	12.5848
5	R4	13.5668	12.6195
5	R5	13.2484	13.2152
5	R6	13.0922	12.6279
5	R7	13.1297	12.2503
5	R8	11.9029	11.7367
5	R9	11.5998	11.3014
5	R10	11.3815	11.944
5	AVG	12.6231	12.3319
