reg	s11	s21	s31	s41	s51	avg1	std1	s12	s22	s32	s42	s52	avg2	std2
1	0.0341422	0.0448148	0.0322799	0.0318632	0.0315844	0.0349369	0.0139771743	0.0313	0.0385	0.0324	0.0287	0.0286	0.0319	0.0125
2	0.0318645	0.0356053	0.0319985	0.0329671	0.0272275	0.03193258	0.0123202109	0.0323	0.0341	0.0287	0.0300	0.0262	0.0303	0.0117
3	0.0274174	0.0307564	0.0272979	0.0307769	0.0253492	0.02831956	0.0108787548	0.0291	0.0317	0.0284	0.0280	0.0238	0.0282	0.0109
4	0.0262261	0.0276532	0.0242025	0.028473	0.0244668	0.02620432	0.0100236727	0.0275	0.0286	0.0278	0.0279	0.0251	0.0274	0.0104
5	0.0258875	0.0292285	0.0274344	0.0282235	0.0262961	0.027414	0.0104218869	0.0275	0.0288	0.0290	0.0272	0.0242	0.0274	0.0105
6	0.0271235	0.027563	0.0288305	0.0281137	0.0264629	0.02761872	0.0104651871	0.0270	0.0289	0.0269	0.0268	0.0242	0.0268	0.0102
7	0.0295396	0.0285943	0.0231431	0.0222645	0.0233388	0.02537606	0.0099871821	0.0290	0.0300	0.0231	0.0265	0.0246	0.0266	0.0103
8	0.0300788	0.033047	0.0386305	0.0351347	0.0295951	0.03329722	0.012950323	0.0310	0.0439	0.0255	0.0249	0.0272	0.0305	0.0132
9	0.0345269	0.0360588	0.0311835	0.0342624	0.0323029	0.0336669	0.0128217293	0.0334	0.0500	0.0330	0.0296	0.0325	0.0357	0.0151
10	0.0333255	0.0442375	0.0331822	0.0463219	0.0350113	0.03841568	0.0154176951	0.0347	0.0476	0.0347	0.0377	0.0308	0.0371	0.0149
