reg	s11	s21	s31	s41	s51	avg1	std1	s12	s22	s32	s42	s52	avg2	std2
1	11.2458	10.2305	11.2413	10.8088	11.9977	11.10482	0.6495768138	11.5989	11.1795	11.5500	12.5230	12.3177	11.8338	0.5641
2	12.1037	11.4223	12.4712	11.7136	12.9639	12.13494	0.6096319734	11.8420	11.5404	12.4749	12.3151	12.7216	12.1788	0.4801
3	12.902	12.0998	12.7211	12.1432	13.3483	12.64288	0.5280849619	12.5763	11.6279	12.9004	12.5581	12.5848	12.4495	0.4808
4	13.2367	12.6175	12.8157	12.7635	13.5668	13.00004	0.3916293247	12.7534	11.7960	12.8838	12.6499	12.6195	12.5405	0.4289
5	13.1592	11.9286	12.4208	12.7633	13.2484	12.70406	0.5451014291	12.7110	12.1867	12.6934	12.5114	13.2152	12.6635	0.3735
6	12.6546	12.426	11.3029	12.4498	13.0922	12.3851	0.6613691103	12.7796	11.8466	12.2355	12.4256	12.6279	12.3830	0.3635
7	12.0895	12.259	10.9753	11.9525	13.1297	12.0812	0.7698396716	12.3528	11.5909	12.5614	12.5505	12.2503	12.2612	0.3974
8	12.0038	11.2777	10.8879	11.7401	11.9029	11.56248	0.4686031925	11.8243	10.6429	12.8090	12.6332	11.7367	11.9292	0.8620
9	11.4119	10.9073	11.2858	11.6753	11.5998	11.37602	0.3036327831	11.5480	10.3584	11.7048	12.0566	11.3014	11.3938	0.6404
10	11.722	9.83388	10.7029	10.8626	11.3815	10.900576	0.7218697278	11.6425	9.8931	10.8880	10.9875	11.9440	11.0710	0.7932
