SCAN	FA	MD	L1	RD	DIAM	DENS
t1	3.60E-01	8.90E-01	1.28E+00	6.98E-01	1.30E+01	2.24E-02
t1	3.80E-01	9.09E-01	1.33E+00	6.99E-01	1.25E+01	2.57E-02
t1	4.00E-01	8.74E-01	1.30E+00	6.61E-01	1.33E+01	2.49E-02
t1	4.27E-01	7.82E-01	1.19E+00	5.78E-01	1.25E+01	2.74E-02
t1	4.12E-01	7.54E-01	1.13E+00	5.66E-01	1.35E+01	2.27E-02
t1	3.17E-01	8.79E-01	1.21E+00	7.16E-01	1.47E+01	1.86E-02
t1	3.90E-01	9.16E-01	1.35E+00	6.99E-01	1.28E+01	2.31E-02
t1	4.83E-01	8.42E-01	1.35E+00	5.87E-01	1.18E+01	3.00E-02
t1	4.99E-01	8.89E-01	1.45E+00	6.09E-01	1.13E+01	3.48E-02
t1	5.10E-01	8.98E-01	1.48E+00	6.08E-01	1.13E+01	3.53E-02
t1	5.50E-01	7.92E-01	1.35E+00	5.12E-01	1.19E+01	3.23E-02
t1	5.60E-01	7.13E-01	1.23E+00	4.55E-01	1.16E+01	3.34E-02
t1	4.75E-01	7.81E-01	1.24E+00	5.50E-01	1.17E+01	3.36E-02
t1	3.75E-01	8.74E-01	1.27E+00	6.77E-01	1.28E+01	2.89E-02
t1	3.09E-01	8.78E-01	1.20E+00	7.18E-01	1.40E+01	2.28E-02
t1	2.58E-01	8.44E-01	1.10E+00	7.17E-01	1.50E+01	1.84E-02
t1	2.02E-01	8.49E-01	1.04E+00	7.53E-01	1.75E+01	1.54E-02
t1	4.02E-01	1.01E+00	1.50E+00	7.60E-01	1.22E+01	2.64E-02
t1	4.94E-01	9.55E-01	1.55E+00	6.57E-01	1.13E+01	3.40E-02
t1	5.65E-01	8.88E-01	1.54E+00	5.64E-01	1.08E+01	3.89E-02
t1	6.06E-01	8.50E-01	1.53E+00	5.09E-01	1.08E+01	3.77E-02
t1	6.46E-01	7.90E-01	1.48E+00	4.45E-01	1.15E+01	3.41E-02
t1	6.41E-01	7.63E-01	1.42E+00	4.34E-01	1.19E+01	3.20E-02
t1	5.72E-01	8.14E-01	1.42E+00	5.12E-01	1.22E+01	2.98E-02
t1	4.92E-01	8.78E-01	1.42E+00	6.07E-01	1.21E+01	3.00E-02
t1	4.20E-01	9.07E-01	1.37E+00	6.74E-01	1.17E+01	2.95E-02
t1	3.42E-01	9.17E-01	1.29E+00	7.29E-01	1.29E+01	2.65E-02
t1	2.78E-01	8.76E-01	1.16E+00	7.32E-01	1.34E+01	2.34E-02
