ID	REG	R1	R2
1	R1	0.0341	0.0313
1	R2	0.0319	0.0323
1	R3	0.0274	0.0291
1	R4	0.0262	0.0275
1	R5	0.0259	0.0275
1	R6	0.0271	0.027
1	R7	0.0295	0.029
1	R8	0.0301	0.031
1	R9	0.0345	0.0334
1	R10	0.0333	0.0347
2	AVG	0.03	0.0303
2	R1	0.0448	0.0385
2	R2	0.0356	0.0341
2	R3	0.0308	0.0317
2	R4	0.0277	0.0286
2	R5	0.0292	0.0288
2	R6	0.0276	0.0289
2	R7	0.0286	0.03
2	R8	0.033	0.0439
2	R9	0.0361	0.05
2	R10	0.0442	0.0476
3	AVG	0.0338	0.0362
3	R1	0.0323	0.0324
3	R2	0.032	0.0287
3	R3	0.0273	0.0284
3	R4	0.0242	0.0278
3	R5	0.0274	0.029
3	R6	0.0288	0.0269
3	R7	0.0231	0.0231
3	R8	0.0386	0.0255
3	R9	0.0312	0.033
3	R10	0.0332	0.0347
4	AVG	0.0298	0.0289
4	R1	0.0319	0.0287
4	R2	0.033	0.03
4	R3	0.0308	0.028
4	R4	0.0285	0.0279
4	R5	0.0282	0.0272
4	R6	0.0281	0.0268
4	R7	0.0223	0.0265
4	R8	0.0351	0.0249
5	R9	0.0343	0.0296
5	R10	0.0463	0.0377
5	AVG	0.0318	0.0287
5	R1	0.0316	0.0286
5	R2	0.0272	0.0262
5	R3	0.0253	0.0238
5	R4	0.0245	0.0251
5	R5	0.0263	0.0242
5	R6	0.0265	0.0242
5	R7	0.0233	0.0246
5	R8	0.0296	0.0272
5	R9	0.0323	0.0325
5	R10	0.035	0.0308
5	AVG	0.0282	0.0267
